Products,,,,,,,Markup,,Chefpanzee Price,
Product Id,SKU,Category Name,Product Name,Original Price,Product Description,Category (Internal),Lunch,Dinner,Lunch,Dinner
,200130,Indonesian Spice Mixes,"Indonesian Instant Spices, Instant Spices For Beef Soto Soup",1.35,,,,,1.35,1.35
,200131,Indonesian Spice Mixes,"Indonesian Instant Spices, Instant Spices For Chicken, Beef, Oxtail Soup",1.35,,,,,1.35,1.35
,200132,Indonesian Spice Mixes,"Indonesian Spices, Betawi Soto Soup",1.35,,,,,1.35,1.35
,200133,Indonesian Spice Mixes,"Indonesian Instant Spices, Indonesian Yellow Fragrant Rice",1.35,,,,,1.35,1.35
,200134,Indonesian Spice Mixes,"Indonesian Instant Spices, Spicy Asian Fried Rice",1.35,,,,,1.35,1.35
,200135,Indonesian Spice Mixes,"Indonesian Instant Spices, Bali Spices",1.35,,,,,1.35,1.35
,200136,Indonesian Spice Mixes,"Indonesian Instant Spices, White Curry",1.35,,,,,1.35,1.35
,200137,Indonesian Spice Mixes,"Indonesian Instant Seasoning Mix, Oriental Curry",1.25,,,,,1.25,1.25
,200138,Indonesian Spice Mixes,Instant Seasoning Mix Authentic Indonesian Recipe For Spicy Beef In Black Nut Soup,1.35,,,,,1.35,1.35
,200139,Indonesian Spice Mixes,"Instant Seasoning Mix, Curry",1.25,,,,,1.25,1.25
,200140,Indonesian Spice Mixes,"Instant Seasoning Mix, Chili And Spices Coconut Gravy",1.25,,,,,1.25,1.25
,200141,Indonesian Spice Mixes,"Instant Seasoning Paste, Braised Chicken In Coconut Milk",3.77,,,,,3.77,3.77
,200142,Indonesian Spice Mixes,"Instant Seasoning Paste, Sour Tamarind Soup",3.77,,,,,3.77,3.77
,200143,Indonesian Spice Mixes,"Instant Seasoning Paste, Chili Chicken",3.77,,,,,3.77,3.77
,200144,Milk,Coconut Milk Powder,1.04,,,,,1.04,1.04
,200145,Milk,"Coconut Cream, Mae Ploy",2.4,,,,,2.4,2.4
,200146,Milk,"Coconut Milk, Chaudoc",1.88,,,,,1.88,1.88
,200147,Milk,"Coconut Milk, Aroy-D",1.77,,,,,1.77,1.77
,200148,Milk,"Coconut Milk, Chaokoh, 13.5 Fluid Oz",1.88,,,,,1.88,1.88
,200149,Milk,"Coconut Milk, Chaokoh, 5.6 Fluid Ounces",1.04,,,,,1.04,1.04
,200150,Milk,"Coconut Milk, Aroy-D, 5.6 Fluid Oz",1.04,,,,,1.04,1.04
,200151,Milk,Sweetened Condensed Milk,3.77,,,,,3.77,3.77
,200152,Milk,Sweetened Condensed Filled Milk,2.4,,,,,2.4,2.4
,200153,Oils,"Vegetable Oil, Great Value, 48 Oz",4.19,,,,,4.19,4.19
,200154,Oils,"Corn Oil, Mazola, 40 Fluid Oz",4.19,,,,,4.19,4.19
,200155,Oils,"Peanut Oil, 20 Fluid Oz",7.34,,,,,7.34,7.34
,200156,Oils & Vinegars,Shaoxing Rice Cooking Wine,3.14,,,,,3.14,3.14
,200157,Oils & Vinegars,Lite Rice Vinegar Reduced Sodium And Sugar,3.77,,,,,3.77,3.77
,200158,Oils & Vinegars,Seasoned Gourmet Rice Vinegar Sweet And Tangy Flavor,3.98,,,,,3.98,3.98
,200159,Oils & Vinegars,Sodium Free Sugar Free Rice Vinegar,2.72,,,,,2.72,2.72
,200160,Oils & Vinegars,Diluted Black Vinegar,3.14,,,,,3.14,3.14
,200161,Oils & Vinegars,Red Vinegar,3.03,,,,,3.03,3.03
,200162,Oils & Vinegars,Vinegar,2.09,,,,,2.09,2.09
,200163,Oils & Vinegars,Spiced Vinegar,2.61,,,,,2.61,2.61
,200164,Oils & Vinegars,Distilled Vinegar,1.77,,,,,1.77,1.77
,200165,Rice & Noodles,Lungkow Bean Thread,1.77,,,,,1.77,1.77
,200166,Rice & Noodles,Rice Sticks,1.56,,,,,1.56,1.56
,200167,Rice & Noodles,Rice Sticks Extra Sticky,1.56,,,,,1.56,1.56
,200168,Rice & Noodles,Vietnamese Rice Vermicelli,1.67,,,,,1.67,1.67
,200169,Rice & Noodles,Fried Rice Vermicelli,1.88,,,,,1.88,1.88
,200170,Rice & Noodles,Quang Nam's Noodle,1.56,,,,,1.56,1.56
